Player,Min,Sh,Ast,Gls
Khvicha Kvaratskhelia,1178,49,3,5
Khvicha Kvaratskhelia,916,34,3,4
Moritz-Broni Kwarteng,172,6,0,0
Giorgos Kyriakopoulos,2845,27,4,2
Luca de la Torre,4,0,0,0
Rémy Labeau Lascary,637,14,1,2
Gaëtan Laborde,1829,70,4,11
Nediljko Labrović,1350,0,0,0
Alexandre Lacazette,2051,53,2,15
Younes Lachaab,9,1,0,0
Maxence Lacroix,3116,30,1,1
Alban Lafont,1080,0,0,0
Yoel Lago,583,0,1,0
Konrad Laimer,1699,18,2,2
Stefan Lainer,757,4,0,1
Kenny Lala,2686,9,2,3
Adam Lallana,361,3,2,0
Mathis Lambourde,89,2,0,1
Mohamed Lamine Bayo,309,10,1,2
Tariq Lamptey,860,6,2,2
Will Lankshear,11,0,0,0
Gianluca Lapadula,310,15,0,0
Cyle Larin,1764,38,2,7
Gautier Larsonneur,3060,0,0,0
Hugo Larsson,2393,21,1,3
Juanmi Latasa,1398,40,0,3
Toni Lato,621,0,0,0
Roméo Lavia,797,2,1,0
Valentino Lazaro,2307,16,6,0
Darko Lazović,1459,19,3,2
Manuel Lazzari,1406,6,1,0
Julien Le Cardinal,1378,10,1,0
Jérémy Le Douaron,102,2,0,0
Enzo Le Fée,318,4,0,0
Robin Le Normand,2151,11,0,1
Nicola Leali,2610,0,0,0
Rafael Leão,2323,66,8,8
Benjamin Lecomte,2700,0,0,0
Pierre Lees-Melou,1526,22,2,2
Jordan Lefort,3060,9,1,0
Diogo Leite,2546,18,2,1
Maxim Leitsch,674,6,0,1
Florian Lejeune,3325,58,3,2
Stefan Lekovic,367,3,0,0
Iñigo Lekue,773,2,0,0
Nunzio Lella,5,0,0,0
Thomas Lemar,85,2,0,0
Félix Lemaréchal,1779,25,3,4
Mario Lemina,1364,18,3,1
Clément Lenglet,1972,10,1,2
Bernd Leno,3420,0,1,0
Donovan Léon,2880,0,2,0
Giovanni Leoni,1199,2,0,1
Esteban Lepaul,1629,41,0,9
Johann Lepenant,2048,20,1,2
Jefferson Lerma,2274,26,1,0
Louis Leroux,816,9,1,2
Robert Lewandowski,2667,111,2,27
Jamie Leweling,1663,29,2,2
Rico Lewis,1893,10,2,1
Keane Lewis-Potter,3093,28,3,1
Myles Lewis-Skelly,1369,3,0,1
Ben Lhassine Kone,51,1,0,0
Mattia Liberali,61,2,0,0
Philipp Lienhart,2770,8,0,1
Matthijs de Ligt,2123,18,0,2
Pedro Lima,70,1,0,0
Victor Lindelöf,704,0,0,0
Jesper Lindstrøm,1239,28,1,0
Karol Linetty,1540,17,0,1
Samuel Lino,1552,45,4,3
Pol Lirola,680,6,2,1
Dailon Livramento,940,13,1,1
Valentino Livramento,2840,6,1,0
Marin Ljubicic,281,2,1,1
Javier Llabrés,57,1,0,0
Diego Llorente,2519,11,0,2
Marcos Llorente,2513,16,4,2
Gautier Lloris,2768,11,1,2
Giovani Lo Celso,1457,31,3,8
Stanislav Lobotka,2636,7,1,0
Manuel Locatelli,2822,24,2,2
Bradley Locko,97,1,0,0
Ruben Loftus-Cheek,1037,9,0,0
Elysée Logbo,27,1,0,0
Enzo Loiodice,684,7,0,0
Sean Longstaff,798,6,0,0
Ademola Lookman,2247,81,5,15
Anthony Lopes,1563,0,0,0
David López,169,0,0,0
David López,2429,12,1,1
Diego López,2737,44,5,8
Fer López,671,20,0,2
Fermin López,1252,41,5,6
Javi López,1936,5,0,0
Pau López,45,0,0,0
Roberto López,396,6,1,0
Unai López,1707,26,1,3
Iker Losada,358,3,0,1
Iker Losada,336,5,0,0
Anthony Losilla,1137,5,0,0
Jordan Lotomba,35,0,0,0
Tom Louchet,775,12,0,1
Sandi Lovrić,2308,49,3,2
Pol Lozano,1943,8,1,0
Lorenzo Lucca,2353,64,1,12
Jhon Lucumí,2614,13,1,0
Yannik Lührs,127,0,0,0
José Luis Gayà,1803,12,1,0
José Luis Palomino,1081,2,0,1
Douglas Luiz,529,8,0,0
Romelu Lukaku,2843,60,10,14
Castello Lukeba,1577,4,0,0
Dodi Lukebakio,3092,93,2,11
Saša Lukić,2344,18,2,0
Milos Lukovic,12,0,0,0
Joe Lumley,270,0,0,0
Daniel Luna,20,0,0,0
Andriy Lunin,630,0,1,0
Massimo Luongo,201,0,0,0
Sebastiano Luperto,3240,21,3,1
Zito Luvumbo,1606,23,2,2
Charalambos Lykogiannis,1048,6,4,0
Senne Lynen,2733,24,1,0
Mathias Løvik,92,1,0,0
Othmane Maamma,361,10,1,1
Ian Maatsen,1139,19,2,1
Alexis Mac Allister,2599,38,5,5
Deiver Machado,1805,23,4,1
Lanroy Machine,8,1,0,0
Shuto Machino,1953,49,2,11
Darwin Machís,639,14,1,0
Yvann Macon,790,10,0,0
James Maddison,1809,39,7,9
Eros Maddy,15,0,0,0
Noni Madueke,2033,80,3,7
Pablo Maffeo,2368,7,2,0
Gabriel Magalhães,2363,22,1,3
Soungoutou Magassa,1025,8,1,0
Edmond-Paris Maghoma,119,1,0,0
Giangiacomo Magnani,1065,11,0,1
Hugo Magnetti,2323,19,0,1
Frank Magri,1516,44,1,5
Harry Maguire,1758,15,0,1
Jon Magunazelaia,7,0,0,0
Arne Maier,938,18,0,0
Mike Maignan,3294,0,0,0
Patrick Mainka,3060,25,1,1
Kobbie Mainoo,1651,15,0,0
Ainsley Maitland-Niles,1985,22,4,1
Radosław Majecki,1350,0,0,0
Lovro Majer,304,6,1,2
Hamidou Makalou,32,0,0,0
Jordy Makengo,745,0,0,0
Antoine Makoumbou,2150,7,3,0
Nikola Maksimović,581,1,0,0
Tyrell Malacia,100,0,0,0
Jarzinho Malanga,2,0,0,0
Julián Malatini,454,3,1,1
Daniel Maldini,1306,39,0,3
Daniel Maldini,258,10,0,3
Youssef Maleh,1510,17,1,0
Donyell Malen,305,15,0,3
Donyell Malen,614,19,0,3
Ruslan Malinovskyi,383,9,2,0
Lennard Maloney,760,3,0,0
Lennard Maloney,26,0,0,0
Aaron Malouda,2,0,0,0
Giorgi Mamardashvili,3060,0,0,0
Dennis Man,1995,49,4,4
Hianga Mananga Mbock,21,1,0,0
Gianluca Mancini,3143,22,0,2
Steve Mandanda,1486,0,0,0
Christos Mandas,810,0,0,0
Reinildo Mandava,941,1,0,0
Aïssa Mandi,1733,6,0,0
Rolando Mandragora,1856,37,2,4
Mateus Mane,2,0,0,0
Orel Mangala,1261,16,0,1
Orel Mangala,67,1,0,0
Ryan Manning,1462,8,1,0
Javier Manquillo,515,0,0,0
Johan Manzambi,335,11,1,2
Alberto Manzoni,6,1,0,0
Sekou Mara,768,19,1,1
Alessandro Marcandalli,46,0,0,0
Alessandro Marcandalli,354,2,0,0
Marcão,552,0,0,0
Solly March,168,2,0,0
Filip Marchwiński,15,0,0,0
Óscar de Marcos,1564,8,4,0
Alberto Marí,7,0,0,0
Pablo Marí,1628,2,0,0
Pablo Marí,1098,5,0,0
José María Giménez,1999,5,1,0
Luca Marianucci,1069,8,0,0
Mirko Marić,106,1,0,0
Mirko Marić,356,6,0,0
Arkaitz Mariezkurrena,241,10,0,2
Rafa Marín,142,2,0,0
Pablo Marín,1239,21,2,1
Răzvan Marin,1406,21,2,3
Guillermo Maripán,2340,12,1,1
Mika Mármol,2399,10,1,0
Omar Marmoush,1175,49,0,7
Omar Marmoush,1448,75,9,15
Mario Maroto,64,1,1,0
Marquinhos,1725,8,0,2
Unai Marrero,180,0,0,0
Ange Martial Tia,171,4,0,0
Aarón Martín,3085,16,8,0
Carlos Martín,1333,26,2,2
Diego Martín,40,1,0,0
Gerard Martín,1038,7,3,1
Iván Martín,2039,11,1,1
Jon Martin,904,9,1,0
Jonas Martin,496,3,0,1
Mario Martín,1748,28,1,0
Gabriel Martinelli,2290,55,4,8
Arnau Martinez,2624,19,2,2
Emiliano Martínez,3194,0,0,0
Iñigo Martínez,2490,13,4,0
Javi Martínez,6,0,0,0
Josep Martinez,450,0,0,0
Lautaro Martínez,2474,99,3,12
Lisandro Martínez,1751,17,1,2
Lucas Martínez Quarta,351,3,0,1
Ramón Martínez,261,4,0,1
Toni Martínez,1012,46,0,4
Kevin Martins,183,0,1,0
Javi Martón,53,0,0,0
Adam Marušić,2337,23,0,4
Marvin,1038,5,0,0
Omar Mascarell,1992,9,0,1
Adam Masina,1919,8,2,1
Patrizio Masini,1538,8,0,1
Giorgos Masouras,1055,30,1,2
Erhan Mašović,910,7,1,1
Han-Noah Massengo,1046,6,0,0
Clinton Mata,2370,5,4,0
Jaime Mata,656,17,0,0
Igor Matanovic,312,12,0,1
Pape Matar Sarr,1913,34,2,3
Eliot Matazo,68,0,0,0
Jean-Philippe Mateta,2648,68,2,14
Nemanja Matić,2010,2,1,0
Rudy Matondo,66,0,0,0
Chrislain Matsima,2551,14,1,1
Jean Mattéo Bahoya,921,10,3,2
Alan Matturro,900,4,0,0
Azor Matusiwa,2078,11,3,1
Neal Maupay,1042,19,4,4
Maurides,2,0,0,0
Stephy Mavididi,1615,26,1,4
Konstantinos Mavropanos,2045,18,0,0
Christian Mawissa,1501,1,0,0
Keke Maximilian Topp,252,7,2,2
Borja Mayoral,1114,19,1,5
Senny Mayulu,808,25,2,2
Noussair Mazraoui,2838,13,1,0
Andrea Mazza,8,0,0,0
Luca Mazzitelli,335,7,1,1
Pasquale Mazzocchi,702,3,0,0
Samuel Mbangula,709,9,3,3
Ethan Mbappé,222,11,0,0
Kylian Mbappé,2907,152,3,31
Ibrahim Mbaye,340,12,1,1
Bryan Mbeumo,3414,79,7,20
James Mcatee,349,12,0,3
Kasey McAteer,852,13,1,1
Oliver McBurnie,1837,32,6,3
Alex McCarthy,450,0,0,0
John McGinn,2223,31,4,1
Scott McKenna,2466,10,0,0
Weston McKennie,2310,22,4,2
Mark McKenzie,2496,8,1,1
Dwight McNeil,1371,25,6,4
Scott McTominay,19,1,0,0
Scott McTominay,2938,76,4,12
Jakov Medić,1603,14,0,1
Facundo Medina,2543,27,1,0
Ben Mee,183,0,0,0
Jayden Meghoma,5,0,0,0
Henrik Meister,63,2,0,1
Bamo Meïté,424,1,0,0
Bamo Meïté,26,0,0,0
Mohamed Meité,544,15,0,2
Mateo Mejía,11,0,0,0
Farid El Melali,1893,46,3,2
Filippo Melegoni,89,1,1,0
Arthur Melo,941,6,0,0
Nuno Mendes,1676,21,3,1
Brais Méndez,1531,28,2,3
Antoine Mendy,825,9,0,0
Ferland Mendy,1005,0,1,0
Nampalys Mendy,588,3,1,0
Nobel Mendy,108,0,0,0
Gideon Mensah,2280,4,1,0
Alex Meret,3005,0,0,0
Mikel Merino,1586,38,2,7
Quentin Merlin,1589,26,3,1
Víctor Meseguer,418,6,0,0
Rafik Messali,456,4,1,0
Junior Messias,847,17,1,1
Connor Metcalfe,358,6,0,0
Karol Mets,900,3,0,0
Thomas Meunier,1928,28,0,2
Alexander Meyer,180,0,0,0
Shumaira Mheuka,1,1,0,0
Lucas Michal,117,3,0,0
Florian Micheler,32,0,0,0
Miguel,1724,33,3,1
Valentin Mihaila,1288,31,3,0
Georges Mikautadze,1449,52,6,11
Igor Miladinović,26,0,0,0
Nikola Milenković,3330,29,2,5
Lewis Miley,313,3,0,1
Vanja Milinković-Savić,3330,0,0,0
Éder Militão,938,10,1,1
Luis Milla,2875,31,4,1
Pere Milla,456,11,0,3
Enzo Millot,1843,43,5,6
James Milner,170,2,0,0
Kim Min-jae,2283,7,0,2
Yerry Mina,2569,26,0,1
Takumi Minamino,2231,57,3,6
Lucas Mincarelli,715,7,0,1
Tyrone Mings,1120,9,0,0
Óscar Mingueza,2729,33,6,4
Kim Minsu,22,0,0,0
Yankuba Minteh,1838,34,4,6
Bojan Miovski,869,14,1,2
Rafa Mir,753,27,2,1
Juan Miranda,2277,22,6,0
Fabio Miretti,1677,24,3,3
Tyrick Mitchell,3092,12,5,0
Kaoru Mitoma,2603,57,4,10
Maximilian Mittelstädt,2469,21,7,1
Koji Miyoshi,464,12,0,1
Henrikh Mkhitaryan,2328,23,4,1
Jakub Moder,11,0,0,0
Rui Modesto,608,3,1,0
Luka Modrić,1827,22,6,2
Max Moerstedt,451,12,0,0
Terem Moffi,58,6,0,1
Mostafa Mohamed,1252,43,0,5
Johan Mojica,2755,17,2,1
David Mokwa,22,2,0,0
Alberto Moleiro,2714,68,1,6
Nahuel Molina,1590,9,3,0
Florent Mollet,242,6,0,0
Jon Moncayola,2099,21,0,0
Jeremy Monga,112,3,0,0
Gonzalo Montiel,113,1,0,0
Lorenzo Montipò,3240,0,0,0
Mikey Moore,366,3,1,0
Álvaro Morata,1099,27,0,5
Morato,907,2,0,0
Diego Moreira,2568,25,7,2
Alberto Moreno,1727,14,0,0
Álex Moreno,955,6,1,0
Gerard Moreno,721,23,2,3
Matias Moreno,144,0,0,0
Xavier Moreno,45,0,0,0
Tete Morente,2021,41,2,3
Mateu Morey,741,3,0,0
Ilaix Moriba,2132,34,1,1
Manu Morlanes,1338,11,0,0
Nikola Moro,1208,14,2,0
Raúl Moro,2341,46,5,4
Sam Morsy,2751,13,1,1
Gabriel Moscardo,84,2,0,0
Cristhian Mosquera,3319,5,0,1
Daniel Mosquera,1375,57,1,5
Yerson Mosquera,441,2,0,0
Dany Mota,2104,42,2,5
Yael Mouanga,946,1,0,0
Aimen Moueffek,1039,10,1,0
Youssoufa Moukoko,204,6,1,2
Steve Mounié,347,22,0,1
Mason Mount,622,20,0,1
Santiago Mouriño,1849,13,1,0
Louis Mouton,1045,19,1,0
Divin Mubama,28,1,0,0
Mykhailo Mudryk,151,1,0,0
Ngal'Ayel Mukau,1190,11,1,0
Nordi Mukiele,899,7,0,1
Florian Müller,753,0,0,0
Kevin Müller,2939,0,0,0
Marius Müller,475,0,0,0
Thomas Müller,1225,30,4,1
Abdul Mumin,2017,10,1,2
Marshall Munetsi,1078,22,1,2
Marshall Munetsi,1692,32,2,4
Rodrigo Muniz,964,39,1,8
Aihen Muñoz,1098,6,0,0
Álex Muñoz,1415,9,0,3
Daniel Muñoz,3228,37,5,4
Iker Muñoz,610,11,1,0
Javier Muñoz,2588,25,3,1
Víctor Muñoz,36,1,0,0
Arijanet Muric,1620,0,0,0
Murillo,3188,25,0,2
Vedat Muriqi,2058,52,2,7
Jacob Murphy,2360,43,12,8
Bob Murphy Omoregbe,3,0,0,0
Yunus Musah,1571,22,2,0
Jamal Musiala,1798,68,2,12
Florent Muslija,168,3,0,0
Almoatasem Al Musrati,386,11,1,1
Juan Musso,90,0,0,0
Juan Musso,180,0,0,0
Kingstone Mutandwa,127,4,0,0
Junior Mwanga,952,16,2,1
Junior Mwanga,296,0,0,0
Phillipp Mwene,2607,21,4,1
Vitaliy Mykolenko,3082,14,2,1
Joakim Mæhle,2188,18,4,3
Obite N'Dicka,3420,18,1,0
Konan N'dri,306,9,0,0
Loïc N'Gatta,13,0,0,0
Nathan N'Goumou,828,24,1,2
Djylian N'Guessan,181,3,0,0
Stanley N'Soki,1308,3,0,0
Mickael Nade,2306,5,2,1
Bilal Nadir,383,8,0,1
Mahamadou Nagida,430,6,0,2
Keito Nakamura,2649,84,2,11
Sebastian Nanasi,2107,28,4,6
Yael Nandjou,154,1,0,0
Nikolas Nartey,22,0,0,0
Matija Nastasić,2110,2,0,1
Natan,2175,9,1,1
Pau Navarro,916,1,0,0
Roberto Navarro,1278,18,0,1
Jesús Navas,424,3,0,1
Michel Ndary Adopo,2409,20,1,1
Youssouf Ndayishimiye,1932,11,0,3
Iliman Ndiaye,2430,35,0,9
Junior Ndiaye,441,5,0,0
Rassoul Ndiaye,1061,18,0,1
Wilfred Ndidi,2324,22,5,0
Wilfried Ndollo,401,0,0,0
Tanguy Ndombele,1131,11,2,1
Cher Ndour,406,4,0,0
Dan Ndoye,2143,50,4,8
Paul Nebel,2345,44,4,10
Kosta Nedeljković,126,0,0,0
Kosta Nedeljković,479,4,0,0
Loïc Nego,2459,11,0,0
Ivan Nekić,71,0,0,0
Reiss Nelson,3,0,0,0
Reiss Nelson,487,12,1,1
Victor Nelsson,187,1,0,0
David Nemeth,2137,5,1,0
David Neres,1283,29,4,2
Neto,180,0,0,0
Pedro Neto,2269,59,6,4
Luca Netz,969,3,2,0
Manuel Neuer,1980,0,0,0
Florian Neuhaus,382,9,1,0
João Neves,1844,28,8,3
Yvan Neyou,2312,16,1,1
Cyril Ngonge,216,13,0,0
Mikayil Ngor Faye,688,6,0,0
Steve Ngoura,289,10,0,0
Bernard Nguene,13,0,0,0
Moussa Niakhate,2726,2,0,0
Abdoulaye Niakhate Ndiaye,1707,11,0,1
Ibrahima Niane,943,29,1,3
Tanguy Nianzou,518,2,0,0
Rasmus Nicolaisen,623,5,1,0
Moritz Nicolas,1639,0,0,0
Hans Nicolussi Caviglia,2861,53,2,4
Julian Niehues,154,2,0,0
Oliver Nielsen,35,0,0,0
Saúl Ñíguez,1553,42,6,1
Eybi Nije,394,9,0,1
Tamás Nikitscher,858,2,0,0
Adrian Niño,12,2,0,0
Justin Njinmah,952,31,2,3
Eddie Nketiah,1034,43,1,3
Niels Nkounkou,382,4,0,0
Christopher Nkunku,921,25,2,3
Felix Nmecha,1509,18,1,4
Lukas Nmecha,467,20,0,3
Arnaud Nordin,1166,26,1,4
Arnaud Nordin,80,1,0,0
Brooke Norton-Cuffy,719,5,0,0
Tijjani Noslin,861,19,2,2
Hugo Novoa,237,1,0,0
Plamedi Nsingi,16,1,0,0
Randy Nteka,1129,16,0,3
Ernest Nuamah,1052,28,1,3
Alexander Nübel,3060,0,1,0
Gustavo Nunes,12,0,0,0
Matheus Nunes,1674,9,6,1
Darwin Núñez,1133,34,2,5
Unai Núñez,645,1,0,0
Antonio Nusa,1558,24,3,3
Ethan Nwaneri,895,24,2,4
Ørjan Nyland,2673,0,0,0
Allan Nyom,887,9,2,1
Rabby Nzingoula,1689,19,0,1
M'Bala Nzola,1460,47,1,6
Marwann Nzuzi,125,2,0,0
Christian Nørgaard,2819,39,4,5
Jake O'Brien,1571,6,0,2
Matt O'Riley,938,21,2,2
Dara O'Shea,3122,22,2,0
Adam Obert,1077,9,1,1
Chidozie Obi-Martin,165,5,0,0
Jan Oblak,3240,0,0,0
Lucas Ocampos,175,4,1,0
Jens Odgaard,1952,49,1,6
Wilson Odobert,850,13,0,1
David Odogu,195,2,0,0
Álvaro Odriozola,43,0,0,0
Tim Oermann,2213,9,2,0
Chiedozie Ogbene,238,0,0,0
Ifechukwu Ogbus,19,0,0,0
Thiago Ojeda,8,1,0,0
Hamzat Ojediran,416,10,0,1
Noah Okafor,414,13,0,1
Noah Okafor,40,1,0,0
Caleb Okoli,1125,4,0,1
Yllan Okou,2,0,0,0
Maduka Okoye,2250,0,0,0
Joseph Okumu,1695,12,0,1
Aingeru Olabarrieta,54,0,0,0
Kazeem Olaigbe,299,6,2,0
Olasagasti,857,13,1,1
Ben Old,528,11,0,0
Finn Ole Becker,670,4,1,0
Michael Olise,2334,86,15,12
Brian Oliván,1017,6,1,0
Lucas Oliveira Rosa,1890,8,1,0
Mathías Olivera,2370,16,2,0
Dani Olmo,1212,40,3,10
Robin Olsen,226,0,0,0
Warmed Omari,8,0,0,0
Becir Omeragic,1799,7,0,0
Jonas Omlin,978,0,0,0
Andrew Omobamidele,539,0,0,0
Ado Onaiwu,957,23,1,4
Amadou Onana,1617,17,0,3
André Onana,3060,0,0,0
Jean Onana,304,1,0,0
Jacob Ondrejka,422,14,0,5
Karim Onisiwo,110,3,0,0
Paul Onuachu,1050,34,1,4
Frank Onyeka,25,0,0,0
Frank Onyeka,2586,24,1,0
Loïs Openda,2453,77,5,9
Christopher Operi,1169,7,2,0
Fredrik Oppegard,273,3,0,0
Victor Orakpo,36,2,0,0
Ike Orazi,3,0,0,0
Gift Orban,186,4,0,2
Gift Orban,687,11,0,4
Willi Orban,2222,22,0,5
Ivan Ordets,1861,11,0,0
Lewis Orford,49,1,0,0
Gaetano Oristanio,2315,44,3,3
Aimar Oroz,2966,47,4,5
Riccardo Orsolini,1878,72,4,15
Stefan Ortega,1100,0,0,0
Ángel Ortíz,353,2,1,0
Gabriel Osei Misehouy,257,6,0,1
Gabriel Osho,1654,7,0,1
Yordan Osorio,172,1,0,0
Patrick Osterhage,2267,21,0,1
William Osula,134,4,0,1
Jibril Othman,5,0,0,0
Sebastian Otoa,179,0,0,0
David Otorbi,14,0,0,0
Dango Ouattara,2005,62,4,7
Guimissongui Ouattara,471,5,1,1
Kassoum Ouattara,391,2,1,0
Remi Oudin,299,3,0,0
Assan Ouedraogo,50,1,0,0
Zinédine Ould Khaled,343,1,0,0
Cheick Oumar Conde,151,1,0,0
Jesús Owono,487,0,0,0
Beres Owusu,90,0,0,0
Elisha Owusu,2344,7,3,1
Mikel Oyarzabal,2250,39,3,9
Daniel Oyegoke,103,1,0,0
Salih Özcan,353,2,0,0
Salih Özcan,391,4,0,0
Cenk Özkacar,757,2,0,0
Nico O’Reilly,528,8,0,2
Jon Pacheco,854,1,0,0
Willian Pacho,2132,4,1,0
Daniele Padelli,90,0,0,0
Alex Padilla,321,0,0,0
Simone Pafundi,116,2,0,0
Exequiel Palacios,1155,13,6,1
Tomás Palacios,446,1,0,0
Tomás Palacios,11,0,0,0
Isaac Palazón Camacho,2162,61,4,4
Alberto Paleari,90,0,0,0
Marco Palestra,222,0,0,0
João Palhinha,673,10,0,0
Nicolas Pallois,2017,3,2,0
Matteo Palma,5,0,0,0
Alex Palmer,1170,0,0,0
Cole Palmer,3191,121,8,15
Emerson Palmieri,2113,16,1,2
Mats Pannewig,267,9,0,0
Lucas Paquetá,2380,39,0,4
Aitor Paredes,1812,6,0,3
Kevin Paredes,123,4,1,0
Leandro Paredes,1373,24,1,3
Daniel Parejo,2273,12,3,3
Iago Parente,71,0,0,0
Fabiano Parisi,1049,8,0,2
Thomas Partey,2797,26,2,4
Mario Pašalić,1967,45,4,3
Álvaro Pascual,408,11,0,1
Felix Passlack,2334,26,6,1
Patric,607,2,0,1
Rui Patrício,270,0,0,0
Nathan Patterson,347,1,1,0
Benjamin Pavard,1584,8,1,0
Aleksandar Pavlovic,1451,9,0,1
Strahinja Pavlović,1864,17,1,2
Leonardo Pavoletti,445,18,0,2
Martín Payero,1381,31,1,1
Nicolas Pays,447,11,0,0
Nicolás Paz,2687,109,8,6
Mads Pedersen,235,2,0,0
Marcus Pedersen,1362,8,0,0
Alfonso Pedraza,460,5,2,0
Pedri,2879,25,5,4
Pedro,1102,37,1,10
Kévin Pedro,10,0,0,0
Adrià Pedrosa,2298,24,1,1
Jordan Pefok,380,11,0,1
Jordan Pefok,908,23,1,0
Pejiño,16,1,0,0
Pietro Pellegri,414,8,0,3
Lorenzo Pellegrini,1626,41,1,2
Luca Pellegrini,1067,13,4,0
Mateo Pellegrino,737,22,1,3
Théo Pellenard,45,0,0,0
Andy Pelmard,129,0,0,0
Andy Pelmard,205,1,0,0
Timothee Pembele,1113,8,0,1
Faris Pemi Moumbagna,8,0,0,0
Iñaki Peña,1396,0,0,0
Rubén Peña,775,10,0,0
Nicolas Pépé,1500,38,6,3
Peque,1134,19,1,1
Sergiu Perciun,152,2,0,0
Óscar Perea,14,1,0,0
Andreas Pereira,2013,38,4,2
Mathias Pereira Lage,1571,36,7,2
Pedro Pereira,2665,13,3,1
Ricardo Pereira,388,2,0,0
Gastón Pereiro,31,0,0,0
Daniel Peretz,270,0,0,0
Ayoze Pérez,1970,75,2,19
Carles Pérez,1431,34,0,3
Francisco Perez,570,6,0,0
Kike Pérez,1114,13,0,1
Kike Pérez,1191,20,0,2
Luis Pérez,2558,5,0,0
Nehuén Pérez,180,0,0,0
Simone Perilli,180,0,0,0
Mattia Perin,450,0,0,0
Romain Perraud,2002,20,2,2
Lucas Perri,2970,0,0,0
Gaëtan Perrin,2691,59,11,10
Máximo Perrone,1857,10,3,0
Noah Pesch,6,0,0,0
Matteo Pessina,854,3,0,0
Andrea Petagna,335,4,0,0
Prosper Peter,27,0,0,0
Léo Pétrot,2634,7,3,0
Đorđe Petrović,2790,0,0,0
Giuseppe Pezzella,2878,15,3,0
Valentín Pezzolesi,6,0,0,0
Luca Philipp,540,0,0,0
Maximilian Philipp,17,1,0,0
Kalvin Phillips,1237,11,0,0
Jaden Philogene Bidace,332,7,0,0
Jaden Philogene Bidace,474,12,0,2
Pica,499,4,0,0
Roberto Piccoli,3127,97,1,10
Benedikt Pichler,785,20,2,1
Jordan Pickford,3420,0,1,0
Amos Pieper,1498,7,0,0
Marvin Pieringer,2206,57,4,7
Nicholas Pierini,83,1,0,0
Santiago Pierotti,1937,32,2,4
Balthazar Pierret,1723,6,0,0
Andrea Pinamonti,2850,78,1,10
Ethan Pinnock,1913,10,0,2
Yeremi Pino,1934,29,7,4
Nicola Pintus,4,0,0,0
Niccolò Pisilli,1227,27,1,2
Damián Pizarro,16,0,0,0
Semuel Pizzignacco,736,0,0,0
Alassane Pléa,1902,41,4,11
Tommaso Pobega,1178,24,2,2
Daniel Podence,48,1,0,0
Joel Pohjanpalo,1603,34,0,6
Matteo Politano,2804,56,4,3
Alfie Pond,1,0,0,0
Marin Pongračić,1292,2,0,0
Nick Pope,2520,0,0,0
Finn Porath,1970,29,3,2
Pedro Porro,2610,39,6,2
Portu,779,8,2,1
